GKSL,WKL,GKSL_encoded,WKL_encoded
택시 기본 돈 얼마 ?,기본 요금은 얼마인가요?,"[2, 4727, 1280, 1730, 3252, 633, 3]","[2, 1280, 3484, 7086, 3252, 7119, 5330, 6999, 258, 3]"
택시 기본 만원,기본 요금은 만원입니다.,"[2, 4727, 1280, 517, 6153, 3]","[2, 1280, 3484, 7086, 517, 6153, 7139, 54, 3]"
택시 기본 만원 ?,기본 요금이 만원인가요?,"[2, 4727, 1280, 517, 6153, 633, 3]","[2, 1280, 3484, 7096, 517, 6153, 7119, 5330, 6999, 258, 3]"
돈 얼마 맞다 확인,요금 확인해주세요.,"[2, 1730, 3252, 1970, 5782, 5130, 3]","[2, 3484, 5130, 7848, 7282, 54, 3]"
돈 얼마 맞다 확인 ?,요금을 확인하셨어요?,"[2, 1730, 3252, 1970, 5782, 5130, 633, 3]","[2, 3484, 7088, 5130, 7782, 6604, 6857, 258, 3]"
밤 12시 후 돈 추가,심야 할증 요금이 적용됩니다.,"[2, 2265, 539, 6705, 5176, 1730, 4542, 3]","[2, 3060, 6844, 4977, 7316, 3484, 7096, 4004, 5906, 54, 3]"
밤 12시 후 돈 추가 ?,심야 할증 요금이 적용되나요?,"[2, 2265, 539, 6705, 5176, 1730, 4542, 633, 3]","[2, 3060, 6844, 4977, 7316, 3484, 7096, 4004, 5886, 5655, 6999, 258, 3]"
고속 돈주다,고속도로 통행료를 내야 합니다.,"[2, 993, 6615, 1730, 7276, 5782, 3]","[2, 517, 5442, 4757, 6093, 6116, 1448, 4986, 54, 3]"
고속 돈주다 ?,고속도로 통행료를 내야 하나요?,"[2, 993, 6615, 1730, 7276, 5782, 633, 3]","[2, 517, 5442, 4757, 6093, 6116, 1448, 4928, 6999, 258, 3]"
택시 돈 되다,현금도 됩니다.,"[2, 4727, 1730, 1763, 5782, 3]","[2, 5050, 5859, 517, 5906, 54, 3]"
택시 돈 되다 ?,현금도 되나요?,"[2, 4727, 1730, 1763, 5782, 633, 3]","[2, 5050, 5859, 1763, 5655, 6999, 258, 3]"
장애인복지카드,장애인 복지 카드입니다.,"[2, 3964, 6380, 7496, 3]","[2, 3964, 2406, 4636, 7139, 54, 3]"
장애인복지카드 ?,장애인 복지 카드인가요?,"[2, 3964, 6380, 7496, 633, 3]","[2, 3964, 2406, 4636, 7119, 5330, 6999, 258, 3]"
어린이교통카드,아이 교통 카드입니다.,"[2, 3234, 5493, 7496, 3]","[2, 3121, 1112, 4636, 7139, 54, 3]"
어린이교통카드 되다 ?,아이 교통 카드도 되나요?,"[2, 3234, 5493, 7496, 1763, 5782, 633, 3]","[2, 3121, 1112, 4636, 5859, 1763, 5655, 6999, 258, 3]"
카드 1회,1회용 카드입니다.,"[2, 4636, 529, 7953, 3]","[2, 529, 7953, 7003, 4636, 7139, 54, 3]"
카드 1회 되다 ?,1회용 카드도 되나요?,"[2, 4636, 529, 7953, 1763, 5782, 633, 3]","[2, 529, 7953, 7003, 4636, 5859, 1763, 5655, 6999, 258, 3]"
지금 카드 충전,지금 카드를 충전하겠습니다.,"[2, 4299, 4636, 4588, 7207, 3]","[2, 4299, 4636, 6116, 4588, 7207, 7782, 5409, 54, 3]"
지금 카드 충전 가능 ?,지금 카드를 충전할 수 있나요?,"[2, 4299, 4636, 4588, 7207, 737, 633, 3]","[2, 4299, 4636, 6116, 4588, 7207, 7836, 2872, 3854, 5655, 6999, 258, 3]"
돈받다,요금을 지불하셔야 합니다.,"[2, 1730, 6288, 5782, 3]","[2, 3484, 7088, 4297, 6424, 7782, 6601, 6844, 4986, 54, 3]"
돈받다 끝 ?,요금을 지불하셨나요?,"[2, 1730, 6288, 5782, 1363, 633, 3]","[2, 3484, 7088, 4297, 6424, 7782, 6604, 5655, 6999, 258, 3]"
표 사다,승차권을 구입하셔야 합니다.,"[2, 4880, 2573, 5782, 3]","[2, 2949, 7389, 5525, 1124, 7782, 6601, 6844, 4986, 54, 3]"
표 사다 ?,승차권을 구입하셨나요?,"[2, 4880, 2573, 5782, 633, 3]","[2, 2949, 7389, 5525, 1124, 7782, 6604, 5655, 6999, 258, 3]"
돈 계산 잘못하다,계산을 잘못하였습니다.,"[2, 1730, 983, 3943, 7798, 3]","[2, 983, 7088, 3943, 7782, 6948, 54, 3]"
돈 계산 틀리다 ?,요금이 맞지 않나요?,"[2, 1730, 983, 4793, 6122, 5782, 633, 3]","[2, 3484, 7096, 1970, 7318, 3146, 5655, 6999, 258, 3]"
지하철 시간 일정하다 위아래,열차 배차 시간이 맞지 않습니다.,"[2, 4347, 2962, 3820, 7798, 3552, 6797, 6023, 3]","[2, 3373, 2287, 7389, 2964, 1970, 7318, 3146, 6701, 54, 3]"
지하철 시간 딱 ?,열차 배차 시간이 일정한가요?,"[2, 4347, 2962, 517, 5960, 633, 3]","[2, 3373, 2287, 7389, 2964, 3820, 7828, 5330, 6999, 258, 3]"
사람 계산 잘못하다,인원 수가 맞지 않습니다.,"[2, 2584, 983, 3943, 7798, 3]","[2, 3783, 2872, 5330, 1970, 7318, 3146, 6701, 54, 3]"
사람 계산 틀리다 ?,인원 수가 맞지 않나요?,"[2, 2584, 983, 4793, 6122, 5782, 633, 3]","[2, 3783, 2872, 5330, 1970, 7318, 3146, 5655, 6999, 258, 3]"
다시,다시 해보세요.,"[2, 1574, 3]","[2, 1574, 4998, 6364, 6586, 54, 3]"
다시 ?,다시 해볼까요?,"[2, 1574, 633, 3]","[2, 1574, 4998, 6386, 5591, 6999, 258, 3]"
1호,1호선입니다.,"[2, 529, 7925, 3]","[2, 529, 7927, 7139, 54, 3]"
1호 ?,1호선인가요?,"[2, 529, 7925, 633, 3]","[2, 529, 7927, 7119, 5330, 6999, 258, 3]"
2호,2호선입니다.,"[2, 553, 7925, 3]","[2, 553, 7927, 7139, 54, 3]"
2호 ?,2호선인가요?,"[2, 553, 7925, 633, 3]","[2, 553, 7927, 7119, 5330, 6999, 258, 3]"
9호,9호선입니다.,"[2, 627, 7925, 3]","[2, 627, 7927, 7139, 54, 3]"
9호 ?,9호선인가요?,"[2, 627, 7925, 633, 3]","[2, 627, 7927, 7119, 5330, 6999, 258, 3]"
여기 명동 지하철,여기는 명동역입니다.,"[2, 3301, 2034, 5872, 4347, 3]","[2, 3301, 5760, 2034, 5872, 6926, 7139, 54, 3]"
여기 명동 지하철 ?,여기가 명동역인가요?,"[2, 3301, 2034, 5872, 4347, 633, 3]","[2, 3301, 5330, 2034, 5872, 6926, 7119, 5330, 6999, 258, 3]"
여기 신촌 지하철,여기는 신촌역입니다.,"[2, 3301, 3010, 7449, 4347, 3]","[2, 3301, 5760, 3010, 7449, 6926, 7139, 54, 3]"
여기 신촌 지하철 ?,여기가 신촌역인가요?,"[2, 3301, 3010, 7449, 4347, 633, 3]","[2, 3301, 5330, 3010, 7449, 6926, 7119, 5330, 6999, 258, 3]"
여기 서울 지하철,여기는 서울역입니다.,"[2, 3301, 2726, 4347, 3]","[2, 3301, 5760, 2726, 6926, 7139, 54, 3]"
여기 서울 지하철 ?,여기가 서울역인가요?,"[2, 3301, 2726, 4347, 633, 3]","[2, 3301, 5330, 2726, 6926, 7119, 5330, 6999, 258, 3]"
여기 송파 지하철 맞다,여기는 송파역입니다.,"[2, 3301, 2869, 7682, 4347, 1970, 5782, 3]","[2, 3301, 5760, 2869, 7682, 6926, 7139, 54, 3]"
여기 송파 지하철 맞다 ?,여기가 송파역인가요?,"[2, 3301, 2869, 7682, 4347, 1970, 5782, 633, 3]","[2, 3301, 5330, 2869, 7682, 6926, 7119, 5330, 6999, 258, 3]"
여기 1호 되다,여기서 1호선을 탈 수 있습니다.,"[2, 3301, 529, 7925, 1763, 5782, 3]","[2, 3301, 6553, 529, 7927, 7088, 4711, 2872, 3867, 54, 3]"
여기 1호 되다 ?,여기서 1호선을 탈 수 있나요?,"[2, 3301, 529, 7925, 1763, 5782, 633, 3]","[2, 3301, 6553, 529, 7927, 7088, 4711, 2872, 3854, 5655, 6999, 258, 3]"
여기 기차 되다,여기서 기차를 탈 수 있습니다.,"[2, 3301, 1258, 7389, 1763, 5782, 3]","[2, 3301, 6553, 1258, 7389, 6116, 4711, 2872, 3867, 54, 3]"
여기 기차 되다 ?,여기서 기차를 탈 수 있나요?,"[2, 3301, 1258, 7389, 1763, 5782, 633, 3]","[2, 3301, 6553, 1258, 7389, 6116, 4711, 2872, 3854, 5655, 6999, 258, 3]"
택시 여기 되다,여기서 택시를 탈 수 있습니다.,"[2, 4727, 3301, 1763, 5782, 3]","[2, 3301, 6553, 4727, 6116, 4711, 2872, 3867, 54, 3]"
택시 여기 되다 ?,여기서 택시를 탈 수 있나요?,"[2, 4727, 3301, 1763, 5782, 633, 3]","[2, 3301, 6553, 4727, 6116, 4711, 2872, 3854, 5655, 6999, 258, 3]"
도착 곳 명동 지하철,목적지는 명동역입니다.,"[2, 1723, 1021, 2034, 5872, 4347, 3]","[2, 2076, 7327, 2034, 5872, 6926, 7139, 54, 3]"
도착 곳 명동 지하철 ?,목적지가 명동역인가요?,"[2, 1723, 1021, 2034, 5872, 4347, 633, 3]","[2, 2076, 7319, 2034, 5872, 6926, 7119, 5330, 6999, 258, 3]"
하나 다음 도착,목적지는 다음 역입니다.,"[2, 4928, 1577, 1723, 3]","[2, 2076, 7327, 1577, 3322, 7139, 54, 3]"
하나 다음 내리다 ?,다음 역에서 내리시나요?,"[2, 4928, 1577, 1444, 5782, 633, 3]","[2, 1577, 3322, 6903, 1444, 6705, 5655, 6999, 258, 3]"
도착 곳 국립박물관,목적지는 국립 박물관입니다.,"[2, 1723, 1021, 1141, 6283, 3]","[2, 2076, 7327, 1141, 517, 6283, 7139, 54, 3]"
도착 곳 국립박물관 ?,목적지는 국립 박물관인가요?,"[2, 1723, 1021, 1141, 6283, 633, 3]","[2, 2076, 7327, 1141, 517, 6283, 7119, 5330, 6999, 258, 3]"
지하철 빨리 오다오다,이번 열차는 급행 열차입니다.,"[2, 4347, 2563, 3417, 5782, 6964, 5782, 3]","[2, 3697, 3373, 5760, 1250, 7881, 3373, 7139, 54, 3]"
지하철 빨리 오다오다 ?,이번 열차는 급행 열차인가요?,"[2, 4347, 2563, 3417, 5782, 6964, 5782, 633, 3]","[2, 3697, 3373, 5760, 1250, 7881, 3373, 7119, 5330, 6999, 258, 3]"
지하철오다 중,열차가 들어오고 있습니다.,"[2, 4347, 6964, 5782, 4257, 3]","[2, 3373, 5330, 1810, 5439, 3867, 54, 3]"
지하철오다 아직 ?,열차가 아직 안 들어오나요?,"[2, 4347, 6964, 5782, 3129, 633, 3]","[2, 3373, 5330, 3129, 3135, 1810, 5655, 6999, 258, 3]"
4사람,모두 4명입니다.,"[2, 605, 6498, 3]","[2, 2047, 605, 6204, 7139, 54, 3]"
4사람 ?,모두 4명인가요?,"[2, 605, 6498, 633, 3]","[2, 2047, 605, 6204, 7119, 5330, 6999, 258, 3]"
지하철 곳 번호 1,1번 승강장입니다.,"[2, 4347, 1021, 517, 6330, 529, 3]","[2, 529, 6328, 2949, 5350, 7178, 7139, 54, 3]"
지하철 곳 1 무엇 ?,1번 승강장인가요?,"[2, 4347, 1021, 529, 2095, 6884, 633, 3]","[2, 529, 6328, 2949, 5350, 7178, 7119, 5330, 6999, 258, 3]"
지하철 곳 12,12번 승강장입니다.,"[2, 4347, 1021, 539, 3]","[2, 539, 6328, 2949, 5350, 7178, 7139, 54, 3]"
지하철 곳 12 무엇 ?,12번 승강장인가요?,"[2, 4347, 1021, 539, 2095, 6884, 633, 3]","[2, 539, 6328, 2949, 5350, 7178, 7119, 5330, 6999, 258, 3]"
1호 맞다,1호선이 맞습니다.,"[2, 529, 7925, 1970, 5782, 3]","[2, 529, 7927, 7096, 1970, 6701, 54, 3]"
1호 맞다 ?,1호선이 맞나요?,"[2, 529, 7925, 1970, 5782, 633, 3]","[2, 529, 7927, 7096, 1970, 5655, 6999, 258, 3]"
지하철 곳 명동 맞다,명동역이 맞습니다.,"[2, 4347, 1021, 2034, 5872, 1970, 5782, 3]","[2, 2034, 5872, 6926, 7096, 1970, 6701, 54, 3]"
지하철 곳 명동 맞다 ?,명동역이 맞나요?,"[2, 4347, 1021, 2034, 5872, 1970, 5782, 633, 3]","[2, 2034, 5872, 6926, 7096, 1970, 5655, 6999, 258, 3]"
가능,가능합니다.,"[2, 737, 3]","[2, 737, 7843, 54, 3]"
가능 ?,가능한가요?,"[2, 737, 633, 3]","[2, 743, 5330, 6999, 258, 3]"
안되다,안 됩니다.,"[2, 3135, 5886, 5782, 3]","[2, 3135, 517, 5906, 54, 3]"
안되다 ?,안되나요?,"[2, 3135, 5886, 5782, 633, 3]","[2, 3135, 5886, 5655, 6999, 258, 3]"
타다,타세요.,"[2, 4698, 5782, 3]","[2, 4698, 6586, 54, 3]"
타다 ?,탈까요?,"[2, 4698, 5782, 633, 3]","[2, 4711, 5591, 6999, 258, 3]"
1호 곳,1호선을 타는 곳입니다.,"[2, 529, 7925, 1021, 3]","[2, 529, 7927, 7088, 4698, 5760, 1021, 7139, 54, 3]"
1호 곳 무엇 ?,1호선을 타는 곳은 어디인가요?,"[2, 529, 7925, 1021, 2095, 6884, 633, 3]","[2, 529, 7927, 7088, 4698, 5760, 1021, 7086, 3223, 7119, 5330, 6999, 258, 3]"
신분당 곳,신분당선을 타는 곳입니다.,"[2, 3018, 5804, 1021, 3]","[2, 3018, 5804, 6564, 4698, 5760, 1021, 7139, 54, 3]"
신분당 곳 무엇 ?,신분당선을 타는 곳은 어디인가요?,"[2, 3018, 5804, 1021, 2095, 6884, 633, 3]","[2, 3018, 5804, 6564, 4698, 5760, 1021, 7086, 3223, 7119, 5330, 6999, 258, 3]"
내리다,내리세요.,"[2, 1444, 5782, 3]","[2, 1444, 6586, 54, 3]"
내리다 ?,내릴까요?,"[2, 1444, 5782, 633, 3]","[2, 1434, 6135, 5591, 6999, 258, 3]"
1호 갈아타다 목적,1호선으로 환승하려고 합니다.,"[2, 529, 7925, 781, 6797, 7581, 5782, 2076, 3]","[2, 529, 7927, 7078, 5136, 6703, 7807, 4986, 54, 3]"
1호 갈아타다 목적 곳곳 ?,1호선 환승하는 곳이 어디인가요?,"[2, 529, 7925, 781, 6797, 7581, 5782, 2076, 1021, 5451, 633, 3]","[2, 529, 7927, 5136, 6703, 7794, 1022, 3223, 7119, 5330, 6999, 258, 3]"
9호 갈아타다 목적,9호선으로 환승하려고 합니다.,"[2, 627, 7925, 781, 6797, 7581, 5782, 2076, 3]","[2, 627, 7927, 7078, 5136, 6703, 7807, 4986, 54, 3]"
9호 갈아타다 목적 곳곳 ?,9호선 환승하는 곳이 어디인가요?,"[2, 627, 7925, 781, 6797, 7581, 5782, 2076, 1021, 5451, 633, 3]","[2, 627, 7927, 5136, 6703, 7794, 1022, 3223, 7119, 5330, 6999, 258, 3]"
도착,도착했습니다.,"[2, 1723, 3]","[2, 1723, 7873, 54, 3]"
도착 ?,도착했나요?,"[2, 1723, 633, 3]","[2, 1723, 7864, 5655, 6999, 258, 3]"
시간 지연되다,지연되었습니다.,"[2, 2962, 4330, 5886, 5782, 3]","[2, 4330, 5895, 6701, 54, 3]"
시간 지연되다 ?,지연되었나요?,"[2, 2962, 4330, 5886, 5782, 633, 3]","[2, 4330, 5895, 5655, 6999, 258, 3]"
시간 지연되다 5분,5분 지연되었습니다.,"[2, 2962, 4330, 5886, 5782, 611, 6416, 3]","[2, 611, 6416, 4330, 5895, 6701, 54, 3]"
지연되다 5분 ?,5분 지연되었나요?,"[2, 4330, 5886, 5782, 611, 6416, 633, 3]","[2, 611, 6416, 4330, 5895, 5655, 6999, 258, 3]"
도착 아직,아직 도착 안 했습니다.,"[2, 1723, 3129, 3]","[2, 3129, 1723, 3135, 517, 7873, 54, 3]"
도착 아직 ?,아직 도착 안 했나요?,"[2, 1723, 3129, 633, 3]","[2, 3129, 1723, 3135, 5017, 5655, 6999, 258, 3]"
있다,있습니다.,"[2, 3862, 3]","[2, 3867, 54, 3]"
있다 ?,있나요?,"[2, 3862, 633, 3]","[2, 3854, 5655, 6999, 258, 3]"
짐 있다,짐이 있습니다.,"[2, 4383, 3862, 3]","[2, 4383, 7096, 3867, 54, 3]"
짐 있다 ?,짐이 있으세요?,"[2, 4383, 3862, 633, 3]","[2, 4383, 7096, 3854, 7074, 6586, 258, 3]"
자전거 있다,자전거가 있습니다.,"[2, 3922, 3862, 3]","[2, 3922, 5330, 3867, 54, 3]"
자전거 있다 ?,자전거가 있으세요?,"[2, 3922, 3862, 633, 3]","[2, 3922, 5330, 3854, 7074, 6586, 258, 3]"
약 가깝다,근처에 약국이 있습니다.,"[2, 3211, 517, 5330, 5599, 5782, 3]","[2, 1229, 6896, 3211, 5503, 7096, 3867, 54, 3]"
약 가깝다 ?,근처에 약국이 있나요?,"[2, 3211, 517, 5330, 5599, 5782, 633, 3]","[2, 1229, 6896, 3211, 5503, 7096, 3854, 5655, 6999, 258, 3]"
택시 곳 가깝다,근처에 택시 승강장이 있습니다.,"[2, 4727, 1021, 517, 5330, 5599, 5782, 3]","[2, 1229, 6896, 4727, 2949, 5350, 7188, 3867, 54, 3]"
택시 곳 가깝다 ?,근처에 택시 승강장이 있나요?,"[2, 4727, 1021, 517, 5330, 5599, 5782, 633, 3]","[2, 1229, 6896, 4727, 2949, 5350, 7188, 3854, 5655, 6999, 258, 3]"
버스 곳 가깝다,근처에 버스 정류장이 있습니다.,"[2, 2305, 1021, 517, 5330, 5599, 5782, 3]","[2, 1229, 6896, 2305, 4092, 6107, 7188, 3867, 54, 3]"
버스 곳 가깝다 ?,근처에 버스 정류장이 있나요?,"[2, 2305, 1021, 517, 5330, 5599, 5782, 633, 3]","[2, 1229, 6896, 2305, 4092, 6107, 7188, 3854, 5655, 6999, 258, 3]"
없다,없습니다.,"[2, 3273, 3]","[2, 3270, 6701, 54, 3]"
없다 ?,없으세요?,"[2, 3273, 633, 3]","[2, 3270, 7074, 6586, 258, 3]"
짐 없다,짐이 없습니다.,"[2, 4383, 3273, 3]","[2, 4383, 7096, 3270, 6701, 54, 3]"
짐 없다 ?,짐은 없으세요?,"[2, 4383, 3273, 633, 3]","[2, 4383, 7086, 3270, 7074, 6586, 258, 3]"
물건 없다,물건이 없습니다.,"[2, 2137, 3273, 3]","[2, 2137, 7096, 3270, 6701, 54, 3]"
물건 없다 ?,물건은 없으세요?,"[2, 2137, 3273, 633, 3]","[2, 2137, 7086, 3270, 7074, 6586, 258, 3]"
짐 차 트렁크열다 나르다,트렁크에 짐을 넣겠습니다.,"[2, 4383, 4402, 4773, 6048, 7565, 6940, 5782, 1370, 6113, 5782, 3]","[2, 4773, 6048, 7565, 6896, 4383, 7088, 1467, 5409, 54, 3]"
짐 차 트렁크열다 나르다 ?,트렁크에 짐을 넣을까요?,"[2, 4383, 4402, 4773, 6048, 7565, 6940, 5782, 1370, 6113, 5782, 633, 3]","[2, 4773, 6048, 7565, 6896, 4383, 7088, 1467, 7088, 5591, 6999, 258, 3]"
뒤 트렁크닫다,트렁크 좀 닫아주세요.,"[2, 1783, 4773, 6048, 7565, 5792, 5782, 3]","[2, 4773, 6048, 7565, 4196, 517, 5792, 6797, 7282, 54, 3]"
뒤 트렁크닫다 ?,트렁크 좀 닫아드릴까요?,"[2, 1783, 4773, 6048, 7565, 5792, 5782, 633, 3]","[2, 4773, 6048, 7565, 4196, 517, 5792, 6797, 5920, 6135, 5591, 6999, 258, 3]"
설명 천천히,천천히 설명해주세요.,"[2, 2773, 4471, 7422, 7996, 3]","[2, 4471, 7422, 7996, 2773, 7848, 7282, 54, 3]"
설명 다시 ?,다시 설명해드릴까요?,"[2, 2773, 1574, 633, 3]","[2, 1574, 2773, 7848, 5920, 6135, 5591, 6999, 258, 3]"
설명 어렵다,설명이 어렵습니다.,"[2, 2773, 3232, 3]","[2, 2773, 7096, 3231, 6701, 54, 3]"
설명 어렵다 ?,설명이 어려우신가요?,"[2, 2773, 3232, 633, 3]","[2, 2773, 7096, 3220, 6060, 7005, 6733, 5330, 6999, 258, 3]"
설명 다시,다시 설명해주세요.,"[2, 2773, 1574, 3]","[2, 1574, 2773, 7848, 7282, 54, 3]"
힘들다 ?,힘드세요?,"[2, 5213, 5782, 633, 3]","[2, 5211, 5920, 6586, 258, 3]"
도착 알려주다,도착하면 알려주세요.,"[2, 1723, 3169, 7276, 5782, 3]","[2, 1723, 7811, 3169, 7282, 54, 3]"
도착 알려주다 ?,도착하면 알려드릴까요?,"[2, 1723, 3169, 7276, 5782, 633, 3]","[2, 1723, 7811, 3169, 5920, 6135, 5591, 6999, 258, 3]"
핸드폰 번호,휴대폰 번호입니다.,"[2, 517, 7861, 7736, 517, 6330, 3]","[2, 5194, 517, 6330, 7139, 54, 3]"
핸드폰 번호 필요 ?,휴대폰 번호를 알려드릴까요?,"[2, 517, 7861, 7736, 517, 6330, 4919, 633, 3]","[2, 5194, 517, 6330, 6116, 3169, 5920, 6135, 5591, 6999, 258, 3]"
지하철 계단 번호 ?,몇 번 출구인가요?,"[2, 4347, 980, 5788, 517, 6330, 633, 3]","[2, 2043, 2307, 4568, 5495, 7119, 5330, 6999, 258, 3]"
지하철 지하위 곳곳 ?,출구가 어디에 있나요?,"[2, 4347, 4346, 7044, 1021, 5451, 633, 3]","[2, 4568, 5495, 5330, 3223, 6896, 3854, 5655, 6999, 258, 3]"
버스 번호 ?,몇 번 버스인가요?,"[2, 2305, 517, 6330, 633, 3]","[2, 2043, 2307, 2305, 7119, 5330, 6999, 258, 3]"
버스 타다 곳곳 ?,버스정류장이 어디에 있나요?,"[2, 2305, 4698, 5782, 1021, 5451, 633, 3]","[2, 2305, 7227, 6107, 7188, 3223, 6896, 3854, 5655, 6999, 258, 3]"
신분증,주민등록증입니다.,"[2, 3018, 7316, 3]","[2, 4228, 5946, 7316, 7139, 54, 3]"
신분증 ?,주민등록증 있으세요?,"[2, 3018, 7316, 633, 3]","[2, 4228, 5946, 7316, 3854, 7074, 6586, 258, 3]"
표,승차권입니다.,"[2, 4880, 3]","[2, 2949, 7389, 5524, 7139, 54, 3]"
표 ?,승차권 있으세요?,"[2, 4880, 633, 3]","[2, 2949, 7389, 5524, 3854, 7074, 6586, 258, 3]"
잠깐 기다리다,잠시만 기다려주세요.,"[2, 3945, 5595, 1266, 5782, 3]","[2, 3946, 6150, 1258, 5782, 6060, 7282, 54, 3]"
여기 기다리다 ?,여기서 기다릴까요?,"[2, 3301, 1266, 5782, 633, 3]","[2, 3301, 6553, 1258, 5782, 6135, 5591, 6999, 258, 3]"
여기 있다,여기에 계세요.,"[2, 3301, 3862, 3]","[2, 3302, 980, 6586, 54, 3]"
여기 있다 ?,여기에 있을까요?,"[2, 3301, 3862, 633, 3]","[2, 3302, 3881, 6999, 258, 3]"
곳 바꾸다,목적지를 변경하고 싶습니다.,"[2, 1021, 2187, 5782, 3]","[2, 2076, 7329, 2340, 7788, 517, 6751, 6701, 54, 3]"
곳 바꾸다 ?,목적지를 변경하시겠습니까?,"[2, 1021, 2187, 5782, 633, 3]","[2, 2076, 7329, 2340, 7782, 6705, 5405, 6700, 258, 3]"
한달 누적사용 내역 보다 원하다,정기권 사용 내역을 알고 싶습니다.,"[2, 4955, 5793, 1533, 6493, 7003, 1434, 6926, 2368, 3533, 7798, 3]","[2, 4096, 5524, 2613, 1434, 6926, 7088, 3168, 517, 6751, 6701, 54, 3]"
한달 누적사용 내역 보여주다 ?,정기권 사용 내역을 보여드릴까요?,"[2, 4955, 5793, 1533, 6493, 7003, 1434, 6926, 2377, 5782, 633, 3]","[2, 4096, 5524, 2613, 1434, 6926, 7088, 2376, 5920, 6135, 5591, 6999, 258, 3]"
도움받다,도와주세요.,"[2, 1717, 6288, 5782, 3]","[2, 1716, 7282, 54, 3]"
도움받다 가능 ?,도와주실 수 있으세요?,"[2, 1717, 6288, 5782, 737, 633, 3]","[2, 1716, 7276, 6738, 2872, 3854, 7074, 6586, 258, 3]"
실수하다,실수입니다.,"[2, 3042, 7798, 3]","[2, 3042, 7139, 54, 3]"
실수하다 ?,실수인가요?,"[2, 3042, 7798, 633, 3]","[2, 3042, 7119, 5330, 6999, 258, 3]"
발생하다,사고가 났습니다.,"[2, 2243, 7798, 3]","[2, 2577, 517, 5671, 6701, 54, 3]"
발생하다 ?,사고가 났나요?,"[2, 2243, 7798, 633, 3]","[2, 2577, 517, 5671, 5655, 6999, 258, 3]"
괜찮다,괜찮아요.,"[2, 1100, 5782, 3]","[2, 1100, 6797, 6999, 54, 3]"
괜찮다 ?,괜찮으세요?,"[2, 1100, 5782, 633, 3]","[2, 1100, 7074, 6586, 258, 3]"
좋다,좋습니다.,"[2, 4206, 3]","[2, 4204, 6701, 54, 3]"
좋다 ?,좋으세요?,"[2, 4206, 633, 3]","[2, 4204, 7074, 6586, 258, 3]"
충분하다,만족합니다.,"[2, 4593, 7798, 3]","[2, 1947, 7843, 54, 3]"
충분하다 ?,만족하세요?,"[2, 4593, 7798, 633, 3]","[2, 1947, 7814, 258, 3]"
확인,확인하겠습니다.,"[2, 5130, 3]","[2, 5130, 7782, 5409, 54, 3]"
확인 가능 ?,확인 할 수 있을까요?,"[2, 5130, 737, 633, 3]","[2, 5130, 4977, 2872, 3881, 6999, 258, 3]"
모르다,모르겠습니다.,"[2, 2049, 5782, 3]","[2, 2049, 5409, 54, 3]"
알다 ?,아시겠어요?,"[2, 3166, 5782, 633, 3]","[2, 3093, 6705, 5405, 6857, 258, 3]"
필요,필요합니다.,"[2, 4919, 3]","[2, 4919, 7843, 54, 3]"
필요 ?,필요하세요?,"[2, 4919, 633, 3]","[2, 4919, 7814, 258, 3]"
택시 문자보내다 나,제가 콜을 불렀습니다.,"[2, 4727, 2123, 6364, 5678, 5782, 1370, 3]","[2, 4128, 5330, 4679, 7088, 2485, 6046, 6701, 54, 3]"
택시 문자받다 ?,콜을 부르셨나요?,"[2, 4727, 2123, 6288, 5782, 633, 3]","[2, 4679, 7088, 2432, 6604, 5655, 6999, 258, 3]"
역무원 부르다,제가 역무원을 불렀습니다.,"[2, 3322, 6228, 7020, 2432, 5782, 3]","[2, 4128, 5330, 3322, 6228, 7025, 2485, 6046, 6701, 54, 3]"
역무원 부르다 ?,역무원을 불러드릴까요?,"[2, 3322, 6228, 7020, 2432, 5782, 633, 3]","[2, 3322, 6228, 7025, 2493, 5920, 6135, 5591, 6999, 258, 3]"
경찰 부르다,제가 경찰을 불렀습니다.,"[2, 975, 2432, 5782, 3]","[2, 4128, 5330, 975, 7088, 2485, 6046, 6701, 54, 3]"
경찰 부르다 ?,경찰을 불러드릴까요?,"[2, 975, 2432, 5782, 633, 3]","[2, 975, 7088, 2493, 5920, 6135, 5591, 6999, 258, 3]"
마포대교 가다,마포대교로 건너가주세요.,"[2, 1907, 7728, 5811, 517, 5330, 5782, 3]","[2, 1907, 7728, 5811, 6079, 881, 5691, 5330, 7282, 54, 3]"
마포대교 가다 ?,마포대교로 건너가드릴까요?,"[2, 1907, 7728, 5811, 517, 5330, 5782, 633, 3]","[2, 1907, 7728, 5811, 6079, 881, 5691, 5330, 5920, 6135, 5591, 6999, 258, 3]"
잠실대교 가다,잠실대교로 건너가주세요.,"[2, 3947, 5811, 517, 5330, 5782, 3]","[2, 3947, 5811, 6079, 881, 5691, 5330, 7282, 54, 3]"
잠실대교 가다 ?,잠실대교로 건너가드릴까요?,"[2, 3947, 5811, 517, 5330, 5782, 633, 3]","[2, 3947, 5811, 6079, 881, 5691, 5330, 5920, 6135, 5591, 6999, 258, 3]"
빨리,빨리 가주세요.,"[2, 2563, 3]","[2, 2563, 517, 5330, 7282, 54, 3]"
빨리 ?,빨리 가드릴까요?,"[2, 2563, 633, 3]","[2, 2563, 517, 5330, 5920, 6135, 5591, 6999, 258, 3]"
