,gloss,spoken,combined
388,버스 곳 차내리다 맞다,버스정거장에서 내려주세요.,버스 곳 차내리다 맞다버스정거장에서 내려주세요.
389,버스 타다 곳곳,버스정류소이 어디에 있나요?,버스 타다 곳곳버스정류소이 어디에 있나요?
390,버스 타다 곳곳,버스승차장이 어디에 있나요?,버스 타다 곳곳버스승차장이 어디에 있나요?
391,버스 타다 곳곳,버스정거장이 어디에 있나요?,버스 타다 곳곳버스정거장이 어디에 있나요?
398,부탁상대방 괜찮다,청해도 될까,부탁상대방 괜찮다청해도 될까
399,부탁상대방 괜찮다,당부해도 될까,부탁상대방 괜찮다당부해도 될까
400,부탁상대방 괜찮다,요청해도 될까,부탁상대방 괜찮다요청해도 될까
401,불가능 변하다 가능,불가능한 작업은 없다,불가능 변하다 가능불가능한 작업은 없다
405,비행기 추락,항공기가 추락하고 있어요.,비행기 추락항공기가 추락하고 있어요.
409,사람 각각 성격 다르다,사람들은 각각 성질이 다르다,사람 각각 성격 다르다사람들은 각각 성질이 다르다
410,사람 각각 성격 다르다,사람들은 각각 성미가 다르다,사람 각각 성격 다르다사람들은 각각 성미가 다르다
411,사람 혼자 살다 불가능,인간은 혼자서 살 수 없다,사람 혼자 살다 불가능인간은 혼자서 살 수 없다
412,누가 갑자기 쓰러지다,인간이 갑자기 쓰러졌어요.,누가 갑자기 쓰러지다인간이 갑자기 쓰러졌어요.
413,사람 물건 무겁다 깔리다,인간이 무거운 물건에 깔렸어요.,사람 물건 무겁다 깔리다인간이 무거운 물건에 깔렸어요.
414,사랑 사람 잊다 쉽다 어렵다,사랑했던 인간을 잊는건 어렵다,사랑 사람 잊다 쉽다 어렵다사랑했던 인간을 잊는건 어렵다
415,사랑 사람 잊다 쉽다 어렵다,사랑했던 분을 잊는건 어렵다,사랑 사람 잊다 쉽다 어렵다사랑했던 분을 잊는건 어렵다
416,살다 너무 힘들다,생활이 너무 버겁다,살다 너무 힘들다생활이 너무 버겁다
417,웃다 모습 귀엽다,샐쭉 웃는 형상이 귀엽다,웃다 모습 귀엽다샐쭉 웃는 형상이 귀엽다
418,웃다 모습 귀엽다,샐쭉 웃는 모양이 귀엽다,웃다 모습 귀엽다샐쭉 웃는 모양이 귀엽다
419,웃다 모습 귀엽다,샐쭉 웃는 꼴이 귀엽다,웃다 모습 귀엽다샐쭉 웃는 꼴이 귀엽다
420,웃다 모습 귀엽다,샐쭉 웃는 장면이 귀엽다,웃다 모습 귀엽다샐쭉 웃는 장면이 귀엽다
421,서로 생각 다르다 싸우다 많다,견해가 달라서 많이 싸웠다,서로 생각 다르다 싸우다 많다견해가 달라서 많이 싸웠다
422,생각,견해가 달라서 많이 싸웠다,생각견해가 달라서 많이 싸웠다
423,서로 생각 다르다 싸우다 많다,의견이 달라서 많이 싸웠다,서로 생각 다르다 싸우다 많다의견이 달라서 많이 싸웠다
424,생각,의견이 달라서 많이 싸웠다,생각의견이 달라서 많이 싸웠다
430,점수 나쁘다 우울하다,점수가 나빠서 우울하다,점수 나쁘다 우울하다점수가 나빠서 우울하다
431,나이 병원 예약 부탁,세브란스 병원 검진 예약을 해주세요.,나이 병원 예약 부탁세브란스 병원 검진 예약을 해주세요.
432,나이 병원 예약 부탁,세브란스 병원 진찰 예약을 해주세요.,나이 병원 예약 부탁세브란스 병원 진찰 예약을 해주세요.
433,나이 병원 예약 부탁,세브란스 병원 진단 예약을 해주세요.,나이 병원 예약 부탁세브란스 병원 진단 예약을 해주세요.
434,고생 많다,노고가 많았소,고생 많다노고가 많았소
436,숨 안되다,호흡이 안 쉬어져요.,숨 안되다호흡이 안 쉬어져요.
437,쉬다 -때 책 읽다 끝,쉬는 시간에 도서를 읽었어,쉬다 -때 책 읽다 끝쉬는 시간에 도서를 읽었어
438,쉬다 -때 책 읽다 끝,쉬는 시간에 서적을 읽었어,쉬다 -때 책 읽다 끝쉬는 시간에 서적을 읽었어
439,일 편하다 생각 하지마,쉽게 작업 할 생각하지 마라,일 편하다 생각 하지마쉽게 작업 할 생각하지 마라
440,일 편하다 생각 하지마,쉽게 근무 할 생각하지 마라,일 편하다 생각 하지마쉽게 근무 할 생각하지 마라
441,신분당 곳 무엇,신분당선을 타는 위치는 어디인가요?,신분당 곳 무엇신분당선을 타는 위치는 어디인가요?
442,신분당 곳 무엇,신분당선을 타는 장소는 어디인가요?,신분당 곳 무엇신분당선을 타는 장소는 어디인가요?
443,심심하다 무엇,심심할경우 무엇을 하면 좋을까,심심하다 무엇심심할경우 무엇을 하면 좋을까
444,쌍둥이 성격 다르다,쌍둥이도 성질이 다르다,쌍둥이 성격 다르다쌍둥이도 성질이 다르다
445,쌍둥이 성격 다르다,쌍둥이도 성미가 다르다,쌍둥이 성격 다르다쌍둥이도 성미가 다르다
447,아기 갑자기 토하다,갓난아기가 갑자기 토해요.,아기 갑자기 토하다갓난아기가 갑자기 토해요.
448,아기 갑자기 토하다,갓난애가 갑자기 토해요.,아기 갑자기 토하다갓난애가 갑자기 토해요.
449,아기 갑자기 토하다,갓난아이가 갑자기 토해요.,아기 갑자기 토하다갓난아이가 갑자기 토해요.
450,아기 갑자기 토하다,젖먹이가 갑자기 토해요.,아기 갑자기 토하다젖먹이가 갑자기 토해요.
451,아기 숨 힘들다,갓난아기가 숨을 안 쉬어요.,아기 숨 힘들다갓난아기가 숨을 안 쉬어요.
452,아기 숨 힘들다,갓난애가 숨을 안 쉬어요.,아기 숨 힘들다갓난애가 숨을 안 쉬어요.
453,아기 숨 힘들다,갓난아이가 숨을 안 쉬어요.,아기 숨 힘들다갓난아이가 숨을 안 쉬어요.
454,아기 숨 힘들다,젖먹이가 숨을 안 쉬어요.,아기 숨 힘들다젖먹이가 숨을 안 쉬어요.
455,아기 장난감 먹다 삼키다,갓난아기가 장난감을 삼켰어요.,아기 장난감 먹다 삼키다갓난아기가 장난감을 삼켰어요.
456,아기 장난감 먹다 삼키다,갓난애가 장난감을 삼켰어요.,아기 장난감 먹다 삼키다갓난애가 장난감을 삼켰어요.
457,아기 장난감 먹다 삼키다,갓난아이가 장난감을 삼켰어요.,아기 장난감 먹다 삼키다갓난아이가 장난감을 삼켰어요.
458,아기 장난감 먹다 삼키다,젖먹이가 장난감을 삼켰어요.,아기 장난감 먹다 삼키다젖먹이가 장난감을 삼켰어요.
464,아내 쓰러지다,마누라가 쓰러졌어요.,아내 쓰러지다마누라가 쓰러졌어요.
465,아내 쓰러지다,배우자가 쓰러졌어요.,아내 쓰러지다배우자가 쓰러졌어요.
466,아내 쓰러지다,처가 쓰러졌어요.,아내 쓰러지다처가 쓰러졌어요.
467,아내 쓰러지다,부인이 쓰러졌어요.,아내 쓰러지다부인이 쓰러졌어요.
471,아빠 일 생기다 모두 기억,부친는 그 일을 기억하고 계셨다,아빠 일 생기다 모두 기억부친는 그 일을 기억하고 계셨다
472,아빠 일 생기다 모두 기억,아비는 그 일을 기억하고 계셨다,아빠 일 생기다 모두 기억아비는 그 일을 기억하고 계셨다
473,아빠 일 생기다 모두 기억,아빠는 그 일을 기억하고 계셨다,아빠 일 생기다 모두 기억아빠는 그 일을 기억하고 계셨다
492,아이 지금 5 되다,어린애가 다섯 살이 되었다,아이 지금 5 되다어린애가 다섯 살이 되었다
493,아이 지금 5 되다,어린아이가 다섯 살이 되었다,아이 지금 5 되다어린아이가 다섯 살이 되었다
494,아이 지금 5 되다,어린이가 다섯 살이 되었다,아이 지금 5 되다어린이가 다섯 살이 되었다
495,아기 독 약 삼키다,어린애가 독극물을 삼켰어요.,아기 독 약 삼키다어린애가 독극물을 삼켰어요.
496,아기 독 약 삼키다,소아가 독극물을 삼켰어요.,아기 독 약 삼키다소아가 독극물을 삼켰어요.
497,아기 독 약 삼키다,어린아이가 독극물을 삼켰어요.,아기 독 약 삼키다어린아이가 독극물을 삼켰어요.
498,아기 독 약 삼키다,애가 독극물을 삼켰어요.,아기 독 약 삼키다애가 독극물을 삼켰어요.
499,아기 독 약 삼키다,어린이가 독극물을 삼켰어요.,아기 독 약 삼키다어린이가 독극물을 삼켰어요.
505,아기 방 갇히다,어린애가 방에 갇혔어요.,아기 방 갇히다어린애가 방에 갇혔어요.
506,아기 방 갇히다,어린아이가 방에 갇혔어요.,아기 방 갇히다어린아이가 방에 갇혔어요.
507,아기 방 갇히다,아동이 방에 갇혔어요.,아기 방 갇히다아동이 방에 갇혔어요.
508,아기 방 갇히다,애가 방에 갇혔어요.,아기 방 갇히다애가 방에 갇혔어요.
509,아기 방 갇히다,어린이가 방에 갇혔어요.,아기 방 갇히다어린이가 방에 갇혔어요.
510,아기 장남감 삼키다,어린애가 장난감을 삼켰어요.,아기 장남감 삼키다어린애가 장난감을 삼켰어요.
511,아기 장남감 삼키다,소아가 장난감을 삼켰어요.,아기 장남감 삼키다소아가 장난감을 삼켰어요.
512,아기 장남감 삼키다,어린아이가 장난감을 삼켰어요.,아기 장남감 삼키다어린아이가 장난감을 삼켰어요.
513,아기 장남감 삼키다,애가 장난감을 삼켰어요.,아기 장남감 삼키다애가 장난감을 삼켰어요.
514,아기 장남감 삼키다,어린이가 장난감을 삼켰어요.,아기 장남감 삼키다어린이가 장난감을 삼켰어요.
515,아이 혼자 방황,어린애가 혼자 방황하고 있습니다.,아이 혼자 방황어린애가 혼자 방황하고 있습니다.
516,아이 혼자 방황,어린아이가 혼자 방황하고 있습니다.,아이 혼자 방황어린아이가 혼자 방황하고 있습니다.
517,아이 혼자 방황,아동이 혼자 방황하고 있습니다.,아이 혼자 방황아동이 혼자 방황하고 있습니다.
518,아이 혼자 방황,애가 혼자 방황하고 있습니다.,아이 혼자 방황애가 혼자 방황하고 있습니다.
519,아이 혼자 방황,어린이가 혼자 방황하고 있습니다.,아이 혼자 방황어린이가 혼자 방황하고 있습니다.
520,아이 놀다 곳 실종,어린애를 공원에서 잃어버렸어요.,아이 놀다 곳 실종어린애를 공원에서 잃어버렸어요.
521,아이 놀다 곳 실종,어린아이를 공원에서 잃어버렸어요.,아이 놀다 곳 실종어린아이를 공원에서 잃어버렸어요.
522,아이 놀다 곳 실종,애를 공원에서 잃어버렸어요.,아이 놀다 곳 실종애를 공원에서 잃어버렸어요.
523,아이 놀다 곳 실종,어린이를 공원에서 잃어버렸어요.,아이 놀다 곳 실종어린이를 공원에서 잃어버렸어요.
524,낯선 아기 데리다,어린애를 모르는 사람이 데려갔어요.,낯선 아기 데리다어린애를 모르는 사람이 데려갔어요.
525,낯선 아기 데리다,어린아이를 모르는 사람이 데려갔어요.,낯선 아기 데리다어린아이를 모르는 사람이 데려갔어요.
526,낯선 아기 데리다,애를 모르는 사람이 데려갔어요.,낯선 아기 데리다애를 모르는 사람이 데려갔어요.
527,낯선 아기 데리다,어린이를 모르는 사람이 데려갔어요.,낯선 아기 데리다어린이를 모르는 사람이 데려갔어요.
528,낯선 아기 데리다,아이를 모르는 자이 데려갔어요.,낯선 아기 데리다아이를 모르는 자이 데려갔어요.
529,낯선 아기 데리다,아이를 모르는 인간이 데려갔어요.,낯선 아기 데리다아이를 모르는 인간이 데려갔어요.
530,아이 잃어버리다,어린애를 잃어버렸습니다.,아이 잃어버리다어린애를 잃어버렸습니다.
531,아이 없다 잃어버리다,어린애를 잃어버렸습니다.,아이 없다 잃어버리다어린애를 잃어버렸습니다.
532,아이 실종,어린애를 잃어버렸습니다.,아이 실종어린애를 잃어버렸습니다.
533,아이 없다 실종,어린애를 잃어버렸습니다.,아이 없다 실종어린애를 잃어버렸습니다.
534,아이 찾다 실종,어린애를 잃어버렸습니다.,아이 찾다 실종어린애를 잃어버렸습니다.
535,아이 사라지다 실종,어린애를 잃어버렸습니다.,아이 사라지다 실종어린애를 잃어버렸습니다.
536,아이 잃어버리다 실종,어린애를 잃어버렸습니다.,아이 잃어버리다 실종어린애를 잃어버렸습니다.
537,아이 실종 잃어버리다,어린애를 잃어버렸습니다.,아이 실종 잃어버리다어린애를 잃어버렸습니다.
538,아이 잃어버리다,어린아이를 잃어버렸습니다.,아이 잃어버리다어린아이를 잃어버렸습니다.
539,아이 없다 잃어버리다,어린아이를 잃어버렸습니다.,아이 없다 잃어버리다어린아이를 잃어버렸습니다.
540,아이 실종,어린아이를 잃어버렸습니다.,아이 실종어린아이를 잃어버렸습니다.
541,아이 없다 실종,어린아이를 잃어버렸습니다.,아이 없다 실종어린아이를 잃어버렸습니다.
542,아이 찾다 실종,어린아이를 잃어버렸습니다.,아이 찾다 실종어린아이를 잃어버렸습니다.
543,아이 사라지다 실종,어린아이를 잃어버렸습니다.,아이 사라지다 실종어린아이를 잃어버렸습니다.
544,아이 잃어버리다 실종,어린아이를 잃어버렸습니다.,아이 잃어버리다 실종어린아이를 잃어버렸습니다.
